custkey,c_address,mktsegment,c_acctbal,c_name,c_phone,n_comment,n_name,nationkey
3877.0,"1nil3abo8bl,l45ufcf",automobile,,,,,,
14469.0,"k,cpuq7fmrfmwrh9x",machinery,,,,,,
25306.0,6dw35r3yhs3vclxcaf1,machinery,,,,,,
41138.0,"k,idvfdukfivz897pqec",machinery,,,,,,
59813.0,vhtmutwd2cy42c9hcnorxm,building,,,,,,
67614.0,nhfm2hv26u,household,,,,,,
69369.0,bfphomyrnnbkrl,machinery,,,,,,
99548.0,"r0dl,q oebsxznw3tlkhlnrtmziay",machinery,,,,,,
108141.0,6sjzkoc54345k,machinery,,,,,,
124851.0,atdzfjm1lrn,automobile,,,,,,
135417.0,"fcwr2jgrmomixlram8 1iojbs2xm2d40jl3,t",machinery,,,,,,
141572.0,a0ltzyztdrgjpchhnhth,automobile,,,,,,
27613.0,,automobile,,,,,,
135398.0,,automobile,,,,,,
117442.0,,household,,,,,,
137981.0,,automobile,,,,,,
105191.0,,household,,,,,,
51235.0,,machinery,,,,,,
74832.0,,building,,,,,,
