custkey,c_address,mktsegment,c_acctbal,c_name,c_phone,n_comment,n_name,nationkey
41138.0,"k,idvfdukfivz897pqec",machinery,,,,,,
67614.0,nhfm2hv26u,household,,,,,,
69369.0,bfphomyrnnbkrl,machinery,,,,,,
99548.0,"r0dl,q oebsxznw3tlkhlnrtmziay",machinery,,,,,,
74200.0,tanf3blnxtw,machinery,,,,,,
3135.0,hyxpgodt y,household,,,,,,
29669.0,fbgyj51kr9flz2mdk8etzjzo8he1gerkcxkp,furniture,,,,,,
55156.0,psczfy2loz1pcktkzc0yoauxxao1hbwipvll9e,household,,,,,,
123108.0,gvqozca1mig4tn8n2f6rs0x,machinery,,,,,,
127466.0,"0,csa,gnnbhu",furniture,,,,,,
128840.0,uies9pzosk3gzcolk cebpp5advilslwcdyeywg6,household,,,,,,
137069.0,cvlybjegt8fv,household,,,,,,
137462.0,shmjti0yyw0phvi26jzl7lkvbxfdzb,household,,,,,,
141563.0,"6coerelens,wl0bgj7i",automobile,,,,,,
59952.0,,automobile,,,,,,
103248.0,,building,,,,,,
122050.0,,automobile,,,,,,
4282.0,,household,,,,,,
34817.0,,building,,,,,,
