custkey,c_address,mktsegment,c_acctbal,c_name,c_phone,n_comment,n_name,nationkey
19914.0,pgetw4ohwtxo5gl r6bpgdwh3s,machinery,,,,,,
38511.0,factkwww5b6,furniture,,,,,,
134636.0,rvz1n zbn9qg tobbfuj45i1u9fcajt,household,,,,,,
3974.0,un23909e xfkrybqrbil4,automobile,,,,,,
42260.0,kcgcnmyvjqmfor4vulrypjo7e0qow1oi,machinery,,,,,,
43217.0,dev9gr98b8gifcksbzucox,machinery,,,,,,
47711.0,f9l6fqt7drdqezj95iz,automobile,,,,,,
52806.0,"qhux9g2q8 jwuvaw9ynhijgaina0g1,r",automobile,,,,,,
59514.0,"4nsmo4,61htaqhnpjgisjhhswikkoiqn71lxz1sp",household,,,,,,
61264.0,hpxpknovivkpqjdm5ur7,machinery,,,,,,
73195.0,"vnv0cxxre5,steivzn7lw9bv1iyou2dcicqqg,",automobile,,,,,,
86337.0,"f b0ttbofbyp19,zaayryi",machinery,,,,,,
115990.0,i6kaea gaj9iflcccxwtgp4h6,household,,,,,,
131337.0,",6grb7son2ipoyg9dq jmtzzjw",building,,,,,,
147960.0,c2bmzfvdgjwyulc3,machinery,,,,,,
142640.0,,household,,,,,,
120378.0,,household,,,,,,
130945.0,,building,,,,,,
107770.0,,household,,,,,,
