custkey,c_address,mktsegment,c_acctbal,c_name,c_phone,n_comment,n_name,nationkey
17200.0,fm 6utzgziy8rmro5tcidfqgxrvyaguzqayq,machinery,,,,,,
19914.0,pgetw4ohwtxo5gl r6bpgdwh3s,machinery,,,,,,
38511.0,factkwww5b6,furniture,,,,,,
41716.0,bz3myiadbvmjjedl2vj,household,,,,,,
42144.0,"0zokcz70ez0dhv1mnv,fnpruqt1fyfxw",automobile,,,,,,
57101.0,ngnm7ojko yar7,building,,,,,,
62942.0,"7fyiwnofuloq0pr,oj",household,,,,,,
76915.0,c7hgddtpyfnni9i67ib6u23u,building,,,,,,
76925.0,vf0hfmrgonead3zacicdkbc8,furniture,,,,,,
97103.0,vghwo1rgl27a1zau rgbvdyfjxh1z6,furniture,,,,,,
113923.0,"uqqswz,os5fv4ey4h4ahmjdlhlc2",furniture,,,,,,
119210.0,vr23h7duzj6e3h81kb qwuf9udhlke,automobile,,,,,,
129927.0,qnhdvzwpbobsupr1,household,,,,,,
134060.0,uky7qkgddx,machinery,,,,,,
136406.0,rgkzayxxs0m2tm4kxez 22vwu6kd46xulre,automobile,,,,,,
140371.0,q7otocujea lqfj0zybnyy,building,,,,,,
62001.0,,household,,,,,,
18123.0,,automobile,,,,,,
10632.0,,automobile,,,,,,
