orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment,linenumber,quantity,extendedprice,discount,returnflag,linestatus,shipdate,commitdate,shipinstruct,nationkey,n_name,n_comment
1122817.0,F,177222.16,Clerk#000000939,148447.0,nan,nan,nan,nan,nan,3.0,20.0,38237.4,0.02,A,F,1992-09-28,1992-09-25,TAKE BACK RETURN,nan,nan,nan
104834.0,pxwcnpgkvg,213637.38,Clerk#000000751,110020.0,nan,nan,nan,nan,nan,6.0,29.0,47026.69,0.06,A,F,1994-09-04,1994-08-27,NONE,nan,nan,nan
1153025.0,F,110607.7,Clerk#000000950,33782.0,nan,nan,nan,nan,nan,5.0,16.0,24728.96,0.05,A,F,1993-12-31,1994-02-19,NONE,nan,nan,nan
1032672.0,lpvmvdqsfx,164010.64,qkjharesqu,601822.0,nan,nan,nan,nan,nan,1.0,27.0,28811.97,0.09,N,O,1998-06-05,1998-07-18,NONE,nan,nan,nan
1073858.0,F,231047.0,Clerk#000000438,22951.0,nan,nan,nan,nan,nan,1.0,23.0,27972.6,0.01,A,F,1995-04-15,1995-03-24,COLLECT COD,nan,nan,nan
1146241.0,wenezsxvsw,134044.44,gqpqvwsogr,322713.0,nan,nan,nan,nan,nan,6.0,9.0,11964.15,0.08,N,O,1995-09-24,1995-10-27,DELIVER IN PERSON,nan,nan,nan
1141894.0,F,186473.72,Clerk#000000761,55352.0,nan,nan,nan,nan,nan,433917.0,43115.0,13818.84,799646.0899051108,A,F,1992-01-10,1992-04-07,NONE,nan,nan,nan
1172197.0,fdcxdcwppc,177613.04,Clerk#000000896,37783.0,nan,nan,nan,nan,nan,2.0,18.0,24882.66,0.0,R,F,1995-01-16,1995-01-09,NONE,nan,nan,nan
1021382.0,F,103139.97,Clerk#000000516,66937.0,nan,nan,nan,nan,nan,1.0,33.0,58768.05,0.04,A,F,1995-05-11,1995-04-16,DELIVER IN PERSON,nan,nan,nan
1141894.0,F,186473.72,Clerk#000000761,280575.0,nan,nan,nan,nan,nan,7.0,14.0,13818.84,0.09,A,F,1992-01-10,1992-04-07,NONE,nan,nan,nan
1141894.0,F,186473.72,Clerk#000000761,280575.0,nan,nan,nan,nan,nan,433917.0,43115.0,13818.84,799646.0899051108,A,F,1992-01-10,1992-04-07,NONE,nan,nan,nan
1172197.0,fdcxdcwppc,177613.04,Clerk#000000896,37783.0,nan,nan,nan,nan,nan,2.0,202116.0,24882.66,3843.215708218772,R,F,1995-01-16,1995-01-09,ggbkzcbdtg,nan,nan,nan
100993.0,F,381510.53,Clerk#000000949,99631.0,nan,nan,nan,nan,nan,7.0,46.0,63865.94,0.0,R,F,qrshpgkjag,ayzdgykvrv,kuysopdioc,nan,nan,nan
1172197.0,F,177613.04,Clerk#000000896,37783.0,nan,nan,nan,nan,nan,2.0,18.0,24882.66,0.0,R,F,1995-01-16,1995-01-09,NONE,nan,nan,nan
1007139.0,O,358407.99,Clerk#000000158,76876.0,nan,nan,nan,nan,nan,3.0,19.0,35260.39,0.04,N,maangimpej,1996-12-16,1997-02-01,bbkmtjqlzv,nan,nan,nan
1055268.0,luiytjwpjl,86937.85,dihcslggff,760786.0,nan,nan,nan,nan,nan,3.0,19.0,27157.65,0.02,N,O,1997-10-12,1997-08-29,NONE,nan,nan,nan
1007139.0,O,358407.99,Clerk#000000158,76876.0,nan,nan,nan,nan,nan,3.0,19.0,35260.39,0.04,N,O,1996-12-16,1997-02-01,TAKE BACK RETURN,nan,nan,nan
1018048.0,O,11044.95,Clerk#000000012,83368.0,nan,nan,nan,nan,nan,1.0,7.0,11386.55,0.03,N,O,1998-01-17,1998-03-28,TAKE BACK RETURN,nan,nan,nan
1021382.0,txylbxfnih,103139.97,Clerk#000000516,35485.0,nan,nan,nan,nan,nan,1.0,33.0,58768.05,0.04,A,F,1995-05-11,1995-04-16,DELIVER IN PERSON,nan,nan,nan
1172197.0,F,177613.04,Clerk#000000896,37783.0,nan,nan,nan,nan,nan,2.0,202116.0,24882.66,3843.215708218772,R,F,1995-01-16,1995-01-09,ggbkzcbdtg,nan,nan,nan
109670.0,O,230619.07,Clerk#000000623,665783.0,nan,nan,nan,nan,nan,3.0,30.0,55557.3,0.03,N,O,1997-05-01,1997-06-20,DELIVER IN PERSON,nan,nan,nan
