orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment
,,,,109925.0,Customer#000109925,ZbaGUPUc0QQHvX7jvODvcPuEkoyprpwYgfF J3Ke,11-139-842-5740,487.54,AUTOMOBILE
,,,,109925.0,Customer#000109925,ZbaGUPUc0QQHvX7jvODvcPuEkoyprpwYgfF J3Ke,11-139-842-5740,487.54,AUTOMOBILE
,,,,64463.0,Customer#000064463,ikwcjhnoky,16-438-998-4552,31336.74648697016,FURNITURE
,,,,5029.0,Customer#000005029,JCSfOA3tnckXifzcIrS53OQcwBnK3c,19-731-645-6056,6661.38,FURNITURE
,,,,5029.0,Customer#000005029,JCSfOA3tnckXifzcIrS53OQcwBnK3c,19-731-645-6056,6661.38,FURNITURE
,,,,71476.0,Customer#000071476,gQSnT7I075tg4aP5kV,25-108-810-6089,4518.68,BUILDING
,,,,71476.0,Customer#000071476,gQSnT7I075tg4aP5kV,25-108-810-6089,4518.68,BUILDING
,,,,38594.0,Customer#000038594,lS9xkBivAeNjaXmfrfSgsvSOqMAvM,30-830-262-7545,9463.46,FURNITURE
,,,,38594.0,Customer#000038594,lS9xkBivAeNjaXmfrfSgsvSOqMAvM,30-830-262-7545,9463.46,FURNITURE
,,,,21865.0,Customer#000021865,dqyjmwlgsk,oapfidsaax,3474.35,BUILDING
,,,,113791.0,Customer#000113791,stihzoqyny,wlctzrxdeo,177189.47069783497,MACHINERY
,,,,40900.0,Customer#000040900,EboeONxoL4WndUYE25CVDeRsHi2V b8,22-374-131-4609,1086.87,MACHINERY
,,,,40900.0,Customer#000040900,EboeONxoL4WndUYE25CVDeRsHi2V b8,22-374-131-4609,1086.87,MACHINERY
,,,,137962.0,Customer#000137962,"2ffF6itL6ZNqnvwQ,TZcEe0FnWq1ynD",18-526-714-2703,6589.79,BUILDING
,,,,137962.0,Customer#000137962,"2ffF6itL6ZNqnvwQ,TZcEe0FnWq1ynD",18-526-714-2703,6589.79,BUILDING
,,,,90958.0,Customer#000090958,mb4rdmjWAZeLiTplu,15-162-211-1059,9610.37,BUILDING
,,,,90958.0,Customer#000090958,mb4rdmjWAZeLiTplu,15-162-211-1059,9610.37,BUILDING
,,,,90958.0,Customer#000090958,mb4rdmjWAZeLiTplu,15-162-211-1059,9610.37,BUILDING
,,,,41828.0,Customer#000041828,"FORX23qOsWdYV,8NHqjakg 8MpiQD0gxJ1z1N",21-512-840-6205,937.36,MACHINERY
,,,,41828.0,Customer#000041828,"FORX23qOsWdYV,8NHqjakg 8MpiQD0gxJ1z1N",21-512-840-6205,937.36,MACHINERY
,,,,55442.0,Customer#000055442,GmIDh6nruplmaz5AEENkVq n1SPjtkUVq1,21-118-787-4049,1464.8,MACHINERY
,,,,27394.0,Customer#000027394,emrRoVy 7YsCaef06U5hu6jky6L4 0eNIr1TRq,30-998-461-1226,4620.74,FURNITURE
,,,,140792.0,Customer#000140792,mfenfxvare,13-502-817-6831,-282.34,HOUSEHOLD
,,,,27394.0,Customer#000027394,emrRoVy 7YsCaef06U5hu6jky6L4 0eNIr1TRq,30-998-461-1226,4620.74,FURNITURE
,,,,129844.0,Customer#000129844,zrzpvlcijk,vpooivjawt,623808.6524598288,AUTOMOBILE
,,,,55442.0,Customer#000055442,GmIDh6nruplmaz5AEENkVq n1SPjtkUVq1,21-118-787-4049,1464.8,MACHINERY
,,,,37819.0,Customer#000037819,"vTRA3ZoEKaehouBb,gSOw5WdRs2x",34-859-166-5069,162.94,AUTOMOBILE
,,,,37819.0,Customer#000037819,"vTRA3ZoEKaehouBb,gSOw5WdRs2x",34-859-166-5069,162.94,AUTOMOBILE
,,,,42260.0,Customer#000042260,kCGCnmyvJQmFOr4VULrypJO7E0Qow1Oi,30-972-763-2485,9159.53,MACHINERY
,,,,42260.0,Customer#000042260,kCGCnmyvJQmFOr4VULrypJO7E0Qow1Oi,30-972-763-2485,9159.53,MACHINERY
,,,,74089.0,Customer#000074089,"KI6hr,2hVDJWzitQAmqQi",12-954-178-4142,3482.17,BUILDING
,,,,74089.0,Customer#000074089,"KI6hr,2hVDJWzitQAmqQi",12-954-178-4142,3482.17,BUILDING
,,,,30929.0,Customer#000030929,6ZGuEaDXHUT9jAazz,26-322-892-5300,639.68,BUILDING
,,,,30929.0,Customer#000030929,6ZGuEaDXHUT9jAazz,26-322-892-5300,639.68,BUILDING
,,,,43921.0,Customer#000043921,gRTfpgkIprGFvbX4SXDJQnv64r,10-778-286-3257,-846.38,MACHINERY
,,,,43921.0,Customer#000043921,gRTfpgkIprGFvbX4SXDJQnv64r,10-778-286-3257,-846.38,MACHINERY
,,,,115030.0,Customer#000115030,"an5,3G40pGDa8yNtKrewc 7nJQzI3ULxpMYH",13-698-926-1079,-967.85,HOUSEHOLD
,,,,115030.0,Customer#000115030,"an5,3G40pGDa8yNtKrewc 7nJQzI3ULxpMYH",13-698-926-1079,-967.85,HOUSEHOLD
,,,,30052.0,Customer#000030052,"yBSuXdwArefgFlJCGabVx,,xar5,GBeZA3",11-158-268-2131,429428.4853633344,AUTOMOBILE
,,,,141733.0,Customer#000141733,xcCcjdi69lITih8NW RQ,33-383-675-9112,4848.29,HOUSEHOLD
,,,,141733.0,Customer#000141733,xcCcjdi69lITih8NW RQ,33-383-675-9112,4848.29,HOUSEHOLD
,,,,71476.0,Customer#000071476,gQSnT7I075tg4aP5kV,mduhyzqoxv,4518.68,wblprlwebe
,,,,42619.0,Customer#000042619,"YUUHZx,xq2MPHk5vSi7,NDBGkj6sK67",34-441-437-7237,2093.26,MACHINERY
,,,,42619.0,Customer#000042619,"YUUHZx,xq2MPHk5vSi7,NDBGkj6sK67",34-441-437-7237,2093.26,MACHINERY
,,,,42619.0,Customer#000042619,"YUUHZx,xq2MPHk5vSi7,NDBGkj6sK67",34-441-437-7237,2093.26,MACHINERY
,,,,87934.0,Customer#000087934,"GEP,37wErI",10-140-808-7326,6362.68,HOUSEHOLD
,,,,87934.0,Customer#000087934,"GEP,37wErI",10-140-808-7326,6362.68,HOUSEHOLD
,,,,68609.0,Customer#000068609,",Ot0EWNWkUZiSyDn jCro9L3KA",34-960-303-8843,-371.01,MACHINERY
,,,,68609.0,Customer#000068609,",Ot0EWNWkUZiSyDn jCro9L3KA",34-960-303-8843,-371.01,MACHINERY
,,,,85756.0,Customer#000085756,e KghFTeW33vX1TcUVN6,20-139-118-1027,6707.22,FURNITURE
,,,,85756.0,Customer#000085756,e KghFTeW33vX1TcUVN6,20-139-118-1027,6707.22,FURNITURE
,,,,36907.0,Customer#000036907,"UvMvkclF,z 5v",19-753-554-8742,1109.66,HOUSEHOLD
,,,,36907.0,Customer#000036907,"UvMvkclF,z 5v",19-753-554-8742,1109.66,HOUSEHOLD
,,,,72664.0,Customer#000072664,kYNNPdT2 79FOKafPYBgWIuOD4,25-664-904-4721,8458.11,dzvpargpcy
,,,,36139.0,Customer#000036139,"t3U,aX7Tvg7XFbzaneUd0pvFJ9DrpoXZ",26-593-156-4101,8772.43,BUILDING
,,,,36139.0,Customer#000036139,"t3U,aX7Tvg7XFbzaneUd0pvFJ9DrpoXZ",26-593-156-4101,8772.43,BUILDING
,,,,147776.0,Customer#000147776,hcxtfkhghi,28-253-786-3614,2437.16,HOUSEHOLD
,,,,50264.0,Customer#000050264,M2XB3FiRxBmvsT21dE1Q7,31-147-558-6515,8963.56,HOUSEHOLD
,,,,50264.0,Customer#000050264,M2XB3FiRxBmvsT21dE1Q7,31-147-558-6515,8963.56,HOUSEHOLD
,,,,81928.0,Customer#000081928,VnuRDSgnyUYaabKFR1srB4SFtrdk y5MfSJBMu,33-681-294-1890,-529.88,HOUSEHOLD
,,,,81928.0,Customer#000081928,VnuRDSgnyUYaabKFR1srB4SFtrdk y5MfSJBMu,33-681-294-1890,-529.88,HOUSEHOLD
,,,,129832.0,Customer#000129832,"Q0DabCJIhjJ C,gj8oMN9nDS4b3j8I0n",21-748-294-8911,5411.05,HOUSEHOLD
,,,,129832.0,Customer#000129832,"Q0DabCJIhjJ C,gj8oMN9nDS4b3j8I0n",21-748-294-8911,5411.05,HOUSEHOLD
,,,,46486.0,Customer#000046486,ra7Bok Zy01ZKsxER3U4rcZy QaI,26-250-877-2255,-160.04,FURNITURE
,,,,46486.0,Customer#000046486,ra7Bok Zy01ZKsxER3U4rcZy QaI,26-250-877-2255,-160.04,FURNITURE
,,,,113791.0,Customer#000113791, SVXsK3i72HHgn6ht3y6uATUoN,27-859-706-6273,734.45,MACHINERY
,,,,113791.0,Customer#000113791, SVXsK3i72HHgn6ht3y6uATUoN,27-859-706-6273,734.45,MACHINERY
,,,,102469.0,Customer#000102469,UzjILoJQG9,22-590-304-3609,7363.71,HOUSEHOLD
,,,,102469.0,Customer#000102469,UzjILoJQG9,22-590-304-3609,7363.71,HOUSEHOLD
,,,,48028.0,Customer#000048028,"KTWXFagIiDu1IE8rToJ,UU88K",25-198-622-8996,7117.72,AUTOMOBILE
,,,,48028.0,Customer#000048028,"KTWXFagIiDu1IE8rToJ,UU88K",25-198-622-8996,7117.72,AUTOMOBILE
,,,,100750.0,Customer#000100750,KAQkvCm75pWb1eeQcwp3ZQ6nuNC566o1eJDAi8 ,11-285-441-3754,2973.78,MACHINERY
,,,,100750.0,Customer#000100750,KAQkvCm75pWb1eeQcwp3ZQ6nuNC566o1eJDAi8 ,11-285-441-3754,2973.78,MACHINERY
,,,,100750.0,Customer#000100750,KAQkvCm75pWb1eeQcwp3ZQ6nuNC566o1eJDAi8 ,11-285-441-3754,2973.78,MACHINERY
,,,,109925.0,Customer#000109925,bfpwytohgc,11-139-842-5740,902863.328458803,AUTOMOBILE
,,,,141361.0,Customer#000141361,bKvoDg1sRT62c,12-163-164-5746,-671.77,FURNITURE
,,,,141361.0,Customer#000141361,bKvoDg1sRT62c,12-163-164-5746,-671.77,FURNITURE
,,,,141361.0,Customer#000141361,bKvoDg1sRT62c,12-163-164-5746,-671.77,FURNITURE
,,,,116800.0,Customer#000116800,glidbltero,dqreurcvyv,698722.1561509378,HOUSEHOLD
