Here is the integrated table that reproduces the example table `psql_2_c_rj_asia.csv` using the provided subset of tables from the data lake:

| custkey | c_name             | c_address                                | nationkey | c_phone          | c_acctbal | mktsegment | n_name       | n_comment                                                                                                |
|---------|--------------------|------------------------------------------|-----------|------------------|-----------|------------|--------------|----------------------------------------------------------------------------------------------------------|
| 20072   | Customer#000020072 | rJgwmlvd8N3 rea                         | 21        | 31-944-768-4169 | 3942.69   | BUILDING   | VIETNAM      | hely enticingly express accounts. even, final                                                             |
| 29914   | Customer#000029914 | JOtVR6vREO24tzO                         | 14        | 24-363-612-9039 | 9292.29   | MACHINERY  | VIETNAM      | ss excuses cajole slyly across the packages. deposits print aroun                                        |
| 36754   | Customer#000036754 | 7KvtZ7kcUOsxPgLvsRghI                   | 14        | 24-719-816-2983 | -754.63   | BUILDING   | VIETNAM      | ss excuses cajole slyly across the packages. deposits print aroun                                        |
| 40192   | Customer#000040192 | 2oauJhhHRN6ECzT6km,hZhOXi4hL            | 12        | 22-283-384-5116 | 5711.01   | BUILDING   | JAPAN        | ously. final, express gifts cajole a                                                                       |
| 42382   | Customer#000042382 | RlPmdIHgbzjyaeycGMLQ1425sClEwIReE7oNMQ | 5         | 15-257-541-2452 | 4553.99   | HOUSEHOLD  | INDONESIA    | slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. |
| 46429   | Customer#000046429 | 2YX4MCUZyba59PfgyCX5mtfNMgvyU0jxVf66eXgY | 2         | 12-665-546-5226 | 811.89    | MACHINERY  | BRAZIL       | ts. silent requests haggle. closely express packages sleep across the blithely                          |
| 56941   | Customer#000056941 | mh5crtVfXMl41S8xIq                     | 1         | 11-516-696-2419 | 5918.5    | HOUSEHOLD  | ARGENTINA    | slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. |
| 60310   | Customer#000060310 | aLcptO7Sz49DuwAQpXaP2lyXA              | 16        | 26-463-290-9971 | 4118.83   | BUILDING   | GERMANY      | ts. silent requests haggle. closely express packages sleep across the blithely                          |
| 68609   | Customer#000068609 | ,Ot0EWNWkUZiSyDn jCro9L3KA              | 24        | 34-960-303-8843 | -371.01   | MACHINERY  | PERU         | requests against the platelets use never according to the quickly regular pint                            |
| 74524   | Customer#000074524 | Q,63JuizyNGD6xfK                        | 8         | 18-973-442-9434 | 4411.47   | HOUSEHOLD  | UNITED STATES| final, express gifts cajole a                                                                             |
| 76360   | Customer#000076360 | CJZjPvD,YFLUvhZq                        | 8         | 18-533-579-4253 | 8561.2    | BUILDING   | UNITED STATES| final, express gifts cajole a                                                                             |
| 86057   | Customer#000086057 | ,ndjpIeit3Vbfu,hG,A                     | 19        | 29-989-848-2892 | 6840.62   | FURNITURE  | INDONESIA    | slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. |
| 86621   | Customer#000086621 | NAcYHq6lKiV1                              | 21        | 31-389-825-6884 | 6345.7    | HOUSEHOLD  | VIETNAM      | hely enticingly express accounts. even, final                                                             |

Please let me know if you need any further information or if there are any specific adjustments you'd like to make.
