orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment
446913.0,P,116858.13,Clerk#000000983,116134.0,Customer#000116134,EbBgl0xSqUdRTDZQ9wDz73Pjx0xp9qmUCbqQN,17-901-601-4029,7728.94,BUILDING
1129760.0,P,151678.19,Clerk#000000541,141361.0,Customer#000141361,bKvoDg1sRT62c,12-163-164-5746,-671.77,FURNITURE
1623523.0,O,152716.18,Clerk#000000624,96367.0,Customer#000096367,"I 4Hpyj, 4x8uHdCCatppw fV8ROWeea9HX",31-685-208-4748,8431.3,HOUSEHOLD
4465735.0,O,41466.4,Clerk#000000592,15949.0,Customer#000015949,98iPVSDn4TYKDr3CX4Fez07,27-138-407-7149,4357.83,AUTOMOBILE
2841378.0,F,207952.19,Clerk#000000466,55442.0,Customer#000055442,GmIDh6nruplmaz5AEENkVq n1SPjtkUVq1,21-118-787-4049,1464.8,MACHINERY
5031840.0,O,223266.0,Clerk#000000702,40192.0,Customer#000040192,"2oauJhhHRN6ECzT6km,hZhOXi4hL",22-283-384-5116,5711.01,BUILDING
5004416.0,O,121467.15,Clerk#000000612,46429.0,Customer#000046429,2YX4MCUZyba59PfgyCX5mtfNMgvyU0jxVf66eXgY,12-665-546-5226,811.89,MACHINERY
3021059.0,F,151878.87,Clerk#000000131,64463.0,Customer#000064463,fKbaPSOwgu0Dfo2imd,16-438-998-4552,6788.31,FURNITURE
5445248.0,O,157530.2,Clerk#000000049,53233.0,Customer#000053233,qwpYotT9QzAa5RroLr6nJq,15-333-758-1640,1957.55,BUILDING
3308193.0,O,247266.56,Clerk#000000059,15646.0,Customer#000015646,"ghLbSnG,LKJ3jyGLSNVWAic5d6axueL4ul",31-439-379-8983,4260.96,AUTOMOBILE
115751.0,O,257827.77,Clerk#000000425,20072.0,Customer#000020072,rJgwmlvd8N3 rea,31-944-768-4169,3942.69,BUILDING
4359969.0,O,78641.47,Clerk#000000361,14843.0,Customer#000014843,"XAjL GSeE9HdX,FKN",12-995-224-5543,1205.55,HOUSEHOLD
4703938.0,F,14632.2,Clerk#000000838,35452.0,Customer#000035452,fJeUGBTc92,17-528-678-7382,5636.19,FURNITURE
1975013.0,F,253864.78,Clerk#000000551,83047.0,Customer#000083047,"ClgUssEnM,BS2UYRnlwf7, cP4KT4jZzb",32-809-727-4775,335.39,MACHINERY
4529893.0,F,96014.97,Clerk#000000334,149170.0,Customer#000149170,RwS8URRhF71DlSKxYZfI,13-602-841-5920,-274.19,BUILDING
3727363.0,O,170482.75,Clerk#000000825,107770.0,Customer#000107770,"rJ8van3jHRWUm,FS94o ",21-819-353-4030,5924.85,HOUSEHOLD
2417600.0,O,54156.24,Clerk#000000124,111815.0,Customer#000111815,"sv2,3EO9Cvfel0zF9",18-689-701-2874,683.13,HOUSEHOLD
5891171.0,O,219789.79,Clerk#000000356,51328.0,Customer#000051328,JFb1v4fXuK 1n,31-720-258-6887,3006.39,BUILDING
1187076.0,O,302278.45,Clerk#000000212,52322.0,Customer#000052322,"jlKRYcH18NzzTOp,IY88O8Q7FUomjJ",22-258-439-4448,-523.89,HOUSEHOLD
1301476.0,O,279396.74,Clerk#000000438,72664.0,Customer#000072664,kYNNPdT2 79FOKafPYBgWIuOD4,25-664-904-4721,8458.11,FURNITURE
1778788.0,F,149998.65,Clerk#000000348,38842.0,Customer#000038842,"STLboyuwjUHxKQMu9Qjozg6F,Emzh8n",17-653-865-8703,3587.62,MACHINERY
490883.0,F,25523.57,Clerk#000000709,20630.0,Customer#000020630,lcI1cbPZ2kyqQYqLa9m e7z1OCfVGrh0ocDy,12-246-809-6791,1002.04,AUTOMOBILE
2188166.0,O,141899.34,Clerk#000000578,141733.0,Customer#000141733,xcCcjdi69lITih8NW RQ,33-383-675-9112,4848.29,HOUSEHOLD
2496102.0,O,90891.4,Clerk#000000175,6085.0,Customer#000006085,N280OwVf0BbPajbB89YmFrHEihif,22-247-826-9697,6041.35,MACHINERY
