orderkey,orderstatus,totalprice,clerk,custkey,c_name,c_address,c_phone,c_acctbal,mktsegment,linenumber,quantity,extendedprice,discount,returnflag,linestatus,shipdate,commitdate,shipinstruct,nationkey,n_name,n_comment
1054146.0,O,320256.13,Clerk#000000866,,,,,,,,,,,,,,,,,,
1149541.0,O,147754.68,Clerk#000000427,42424.0,,,,,,,,,,,,,,,,,
1149829.0,O,285644.17,Clerk#000000582,27118.0,,,,,,,,,0.09,,,1996-01-14,1996-01-14,,,,
1031297.0,O,209052.86,Clerk#000000594,,,,,,,,,,0.0,N,O,1998-02-27,,TAKE BACK RETURN,,,
1091170.0,O,56861.21,Clerk#000000275,41239.0,,,,,,1.0,,,,,O,1997-02-27,,DELIVER IN PERSON,,,
1025281.0,O,333633.87,Clerk#000000163,,,,,,,,,,,,,,,,,,
1012353.0,F,259814.91,Clerk#000000694,,,,,,,,,,,,,,,,,,
103011.0,F,133406.97,Clerk#000000361,34585.0,,,,,,,15.0,,,A,,1993-09-05,1993-08-28,COLLECT COD,,,
1027876.0,F,144061.35,Clerk#000000684,,,,,,,2.0,30.0,,,,F,,1993-11-03,TAKE BACK RETURN,,,
1051808.0,O,153319.06,Clerk#000000234,34192.0,,,,,,,,,,,,1996-06-14,,TAKE BACK RETURN,,,
1128576.0,O,287354.0,Clerk#000000358,,,,,,,,12.0,,,,O,1998-09-08,,NONE,,,
1082084.0,O,255102.37,Clerk#000000738,85471.0,,,,,,,,,,,,,,,,,
1149829.0,O,285644.17,Clerk#000000582,,,,,,,,,,,,,,,,,,
1145957.0,O,195863.41,Clerk#000000008,99577.0,,,,,,,,,,,,,,,,,
1118339.0,F,196779.96,Clerk#000000833,146647.0,,,,,,2.0,,,0.1,R,,,,,,,
1025281.0,O,333633.87,Clerk#000000163,,,,,,,,,,,,O,1997-03-13,,,,,
1016225.0,F,7587.43,Clerk#000000886,27440.0,,,,,,,2.0,,0.05,A,F,1992-10-22,,,,,
104198.0,O,296416.84,Clerk#000000917,60313.0,,,,,,,,,0.09,N,,,,,,,
1176228.0,O,78350.17,Clerk#000000806,,,,,,,,,,,,O,1996-09-03,1996-09-30,NONE,,,
1046757.0,F,304114.87,Clerk#000000552,,,,,,,4.0,,,,,F,1994-06-17,1994-08-18,,,,
1146149.0,F,145303.6,Clerk#000000072,,,,,,,,,,,,,,,,,,
1115008.0,F,302775.04,Clerk#000000345,,,,,,,1.0,50.0,,0.09,,F,,1993-05-27,DELIVER IN PERSON,,,
1046211.0,F,95179.05,Clerk#000000258,,,,,,,2.0,,,,A,,,,TAKE BACK RETURN,,,
1086272.0,F,182944.94,Clerk#000000143,,,,,,,,,,,,F,,1993-07-18,COLLECT COD,,,
1152224.0,O,329552.55,Clerk#000000100,6530.0,,,,,,2.0,,,,,,1996-08-31,1996-10-10,,,,
1084128.0,F,34844.77,Clerk#000000404,,,,,,,,,,,,,,,,,,
1031232.0,O,249261.1,Clerk#000000651,93179.0,,,,,,5.0,43.0,,,N,,1995-07-26,,,,,
1145318.0,O,193212.55,Clerk#000000186,66077.0,,,,,,,,,,N,,,1996-07-11,NONE,,,
1138306.0,P,76894.63,Clerk#000000334,8462.0,,,,,,3.0,4.0,,,,,,,,,,
1164000.0,O,193863.07,Clerk#000000022,12695.0,,,,,,4.0,,,0.05,,,1997-04-21,1997-03-31,COLLECT COD,,,
1087046.0,O,226448.4,Clerk#000000969,,,,,,,2.0,,,,N,O,,,,,,
1147074.0,O,83320.47,Clerk#000000685,,,,,,,1.0,,,,N,O,,1996-09-07,TAKE BACK RETURN,,,
1094688.0,O,95742.86,Clerk#000000254,,,,,,,,,,,N,,1997-03-12,,COLLECT COD,,,
115523.0,F,367352.75,Clerk#000000262,12172.0,,,,,,5.0,,,,A,F,1994-05-13,,TAKE BACK RETURN,,,
1003264.0,F,273846.15,Clerk#000000512,,,,,,,2.0,29.0,,0.0,,F,1994-10-17,,DELIVER IN PERSON,,,
115328.0,F,206554.72,Clerk#000000913,,,,,,,,,,,,,,,,,,
1121123.0,O,203618.69,Clerk#000000857,37873.0,,,,,,1.0,12.0,,0.04,,,,1996-04-09,,,,
